2022-11-14 17:25:42,953 INFO    MainThread:12901 [wandb_setup.py:_flush():68] Configure stats pid to 12901
2022-11-14 17:25:42,954 INFO    MainThread:12901 [wandb_setup.py:_flush():68] Loading settings from /Users/hsjack/.config/wandb/settings
2022-11-14 17:25:42,954 INFO    MainThread:12901 [wandb_setup.py:_flush():68] Loading settings from /Users/hsjack/Documents/GitHub/dev_hearforyou/wandb/settings
2022-11-14 17:25:42,954 INFO    MainThread:12901 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2022-11-14 17:25:42,954 INFO    MainThread:12901 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'AI/# Model/CNN/main.py', 'program': '/Users/hsjack/Documents/GitHub/dev_hearforyou/AI/# Model/CNN/main.py'}
2022-11-14 17:25:42,954 INFO    MainThread:12901 [wandb_init.py:_log_setup():476] Logging user logs to /Users/hsjack/Documents/GitHub/dev_hearforyou/wandb/offline-run-20221114_172542-37kf4tmv/logs/debug.log
2022-11-14 17:25:42,955 INFO    MainThread:12901 [wandb_init.py:_log_setup():477] Logging internal logs to /Users/hsjack/Documents/GitHub/dev_hearforyou/wandb/offline-run-20221114_172542-37kf4tmv/logs/debug-internal.log
2022-11-14 17:25:42,955 INFO    MainThread:12901 [wandb_init.py:init():516] calling init triggers
2022-11-14 17:25:42,955 INFO    MainThread:12901 [wandb_init.py:init():519] wandb.init called with sweep_config: {}
config: {}
2022-11-14 17:25:42,955 INFO    MainThread:12901 [wandb_init.py:init():569] starting backend
2022-11-14 17:25:42,955 INFO    MainThread:12901 [wandb_init.py:init():573] setting up manager
2022-11-14 17:25:42,963 INFO    MainThread:12901 [backend.py:_multiprocessing_setup():102] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2022-11-14 17:25:42,969 INFO    MainThread:12901 [wandb_init.py:init():580] backend started and connected
2022-11-14 17:25:42,975 INFO    MainThread:12901 [wandb_init.py:init():658] updated telemetry
2022-11-14 17:25:43,015 INFO    MainThread:12901 [wandb_init.py:init():728] starting run threads in backend
2022-11-14 17:25:45,290 INFO    MainThread:12901 [wandb_run.py:_console_start():1980] atexit reg
2022-11-14 17:25:45,291 INFO    MainThread:12901 [wandb_run.py:_redirect():1838] redirect: SettingsConsole.WRAP_RAW
2022-11-14 17:25:45,291 INFO    MainThread:12901 [wandb_run.py:_redirect():1903] Wrapping output streams.
2022-11-14 17:25:45,291 INFO    MainThread:12901 [wandb_run.py:_redirect():1925] Redirects installed.
2022-11-14 17:25:45,292 INFO    MainThread:12901 [wandb_init.py:init():765] run started, returning control to user process
